name,url,country,province,thumbnail,average_tuition,average_tuition_currency,logo,type,Number of Students,International Students,University Type,Number of Academician,Erasmus,Scholarship Ratio,Urap Standings,Placement Rate,Technology Office,Student/Academician,Entrepreneurship Index Score,Library Area,Ar-Ge Expense,programs,features,address
University of Lucerne,https://univerlist.com/university-of-lucerne/,Switzerland,Luzern,https://univerlist.com/media/cache/dc/22/dc22cd655cb321ddbbaf734debc29d24.webp,"88,625",CHF,https://univerlist.com/media/cache/9c/b1/9cb1bb4f95b297d05e322dbe817d7efb.webp,Public,,,Public,,No,Public University,,-,No,,,,,[],"[""Biomechanics Laboratory"", ""Clubs and Societies"", ""Copy Center"", ""Conference Hall"", ""Student House"", ""Gym"", ""Cafeteria"", ""Career Office"", ""Academic Counseling"", ""Library""]","University of Lucerne"
KTH Royal Institute of Technology,https://univerlist.com/kth-royal-institute-of-technology/,Sweden,Stockholm,https://univerlist.com/media/cache/c1/38/c1384aba01eb8c3e2eec701a5430b287.webp,"1,694,375",USD,https://univerlist.com/media/cache/ed/cc/edcc3382c60a645d7ed61f3badc10bb9.webp,Public,13.514,2.027,Public,,Yes,Public University,,-,Yes,,,,,[],"[""Music Studio"", ""Security"", ""Health Center"", ""Student House"", ""Museum"", ""Cafeteria"", ""Virtual Library"", ""Career Office"", ""Research Laboratory"", ""Sport Center"", ""Student Central"", ""Library""]","SE-100 44 Stockholm"
Queensland University of Technology,https://univerlist.com/queensland-university-of-technology/,Australia,Brisbane,https://univerlist.com/media/cache/53/37/533785971127645cc572baa18c3160a7.webp,"1,574,529",AUD,https://univerlist.com/media/cache/03/93/0393b1eadece6b567d1516f5aa5469d3.webp,Public,,,Public,,No,Public University,,-,No,,,,,[],"[""Music Studio"", ""Copy Center"", ""Dormitory"", ""Gym"", ""Computer Games and Animation Laboratory"", ""Cafeteria"", ""Virtual Library"", ""Career Office"", ""Academic Counseling"", ""Alumni Clubs"", ""Library""]","2 George St Brisbane QLD 4000 Australia"
Polytech Montpellier,https://univerlist.com/polytech-montpellier/,France,Montpellier,https://univerlist.com/media/cache/f3/79/f3796f4f72cd547007e784a4cc4f93eb.webp,"15,986",USD,https://univerlist.com/media/cache/86/fd/86fdde156ed77d186c42cce504ee831b.webp,Public,,,Public,,Yes,Public University,,-,No,,,,,[],"[""Security"", ""Health Center"", ""Conference Hall"", ""Student House"", ""Dormitory"", ""Gym"", ""Cafeteria"", ""Career Office"", ""Research Laboratory"", ""Dining Hall"", ""Wifi"", ""Library""]","Place Eugène Bataillon34090 Montpellier"
University of Denver,https://univerlist.com/university-of-denver/,United States of America,Denver,https://univerlist.com/media/cache/ff/94/ff943bfb73f812b8b63f88fa74efc1ac.webp,"3,724,384",USD,https://univerlist.com/media/cache/c7/d0/c7d0c857e536bfff7c793b7eea8ba682.webp,Private,,,Private,,No,None,,-,No,,,,,[],"[""Athletics Field"", ""Fitness Center"", ""Car Park"", ""Dormitory"", ""Cafeteria"", ""Bikes on Campus"", ""Career Office"", ""Theatre"", ""Library""]","2199 S University Blvd Denver CO 80208 United States"
Vongchavalitkul University,https://univerlist.com/vongchavalitkul-university/,Thailand,Nakhon Ratchasima,https://univerlist.com/media/cache/f7/09/f709a74c7fee89b65424fb0146e412ad.webp,,USD,https://univerlist.com/media/cache/bf/cc/bfccaf7b65d108fd5341c3838f30b515.webp,Private,,,Private,,No,None,,-,No,,,,,[],"[""Car Park"", ""Clubs and Societies"", ""Security"", ""Health Center"", ""Conference Hall"", ""Dormitory"", ""Cafeteria"", ""Career Office"", ""Sport Center"", ""Alumni Clubs"", ""Library""]","Vongchavalitkul University"
Royal Academy of Music,https://univerlist.com/royal-academy-of-music/,Denmark,Aarhus,https://univerlist.com/media/cache/c6/e1/c6e133f9568a3f7eea5f9a2122b2eee9.webp,,USD,https://univerlist.com/media/cache/04/c2/04c2942b09041d4b9ec55d056851cc4d.webp,Public,,,Public,,Yes,Public University,,-,No,,,,,[],"[""Music Studio"", ""Security"", ""Radio Studio"", ""Cafeteria""]","Royal Academy of Music"
King Mongkuts Institute of Technology Ladkrabang,https://univerlist.com/king-mongkuts-institute-of-technology-ladkrabang/,Thailand,Bangkok,https://univerlist.com/media/cache/30/c3/30c3c1a9f84ec0e9cb25d99b0a4cc2fe.webp,,USD,https://univerlist.com/media/cache/e4/bc/e4bc40826d93244e9d0ec5628b0f2e1a.webp,Public,,,Public,,No,Public University,,-,No,,,,,[],"[""Clubs and Societies"", ""Security"", ""Health Center"", ""Conference Hall"", ""Student House"", ""Dormitory"", ""Cafeteria"", ""Career Office"", ""Research Laboratory"", ""Student Central"", ""Computer Room"", ""Library""]","King Mongkuts Institute of Technology Ladkrabang"
Ecole Des Ponts Business School,https://univerlist.com/ecole-des-ponts-business-school/,France,Paris,https://univerlist.com/media/cache/2a/66/2a66d43d3bf4dc72d58c1b6a274802ce.webp,"3,623,181",EUR,https://univerlist.com/media/cache/61/04/6104d9eaf659af511d306716228424d0.webp,Private,,,Private,,Yes,None,,-,Yes,,,,,[],"[""Car Park"", ""In-campus Transportation"", ""Clubs and Societies"", ""Security"", ""Health Center"", ""Conference Hall"", ""Student House"", ""Tennis Court"", ""Cafeteria"", ""Career Office"", ""Research Laboratory"", ""Wifi"", ""Library""]","6-8 avenue Blaise-Pascal - Cité DescartesChamps-sur-Marne"
Rey Juan Carlos University,https://univerlist.com/rey-juan-carlos-university/,Spain,Madrid,https://univerlist.com/media/cache/c3/25/c325cdc7d78ca327938b919576cb9f5b.webp,"184,171",USD,https://univerlist.com/media/cache/c1/18/c118df1be50e0ad45cd5763505b414c1.webp,Public,,,Public,,Yes,Public University,,-,No,,,,,[],"[""Music Studio"", ""Clubs and Societies"", ""Copy Center"", ""Student House"", ""Gym"", ""Cafeteria"", ""Career Office"", ""Academic Counseling"", ""Dining Hall"", ""Library""]","Rey Juan Carlos University"
Southern Cross University,https://univerlist.com/southern-cross-university/,Australia,Lismore,https://univerlist.com/media/cache/13/0a/130ab96676bd4f96a5a98a92da843325.webp,"849,506",AUD,https://univerlist.com/media/cache/97/31/97319e691b049be4dd268b11b56093de.webp,Public,,,Public,,Yes,Public University,,-,Yes,,,,,[],"[""Bank"", ""Walking Track"", ""Cargo"", ""Security"", ""Health Center"", ""Car Washing"", ""Gym"", ""Cafeteria"", ""Career Office"", ""Library""]","Southern Cross University"
University of Applied Sciences of Western Switzerland,https://univerlist.com/university-of-applied-sciences-of-western-switzerland/,Switzerland,Delemont,https://univerlist.com/media/cache/7a/24/7a24b7c75f22f89bc5016f7ad1c39709.webp,"108,695",EUR,https://univerlist.com/media/cache/c6/a0/c6a0e1affc5594f78498b9cc4aff0394.webp,Public,,,Public,,No,Public University,,-,No,,,,,[],"[""Clubs and Societies"", ""Security"", ""Copy Center"", ""Conference Hall"", ""Student House"", ""Dormitory"", ""Gym"", ""Cafeteria"", ""Career Office"", ""Academic Counseling"", ""Library""]","University of Applied Sciences of Western Switzerland"
